title,abstract,date,doi,search_date
Prognostic value of serum C-reactive protein in idiopathic multicentric Castleman disease and construction of a prognostic model for patients.,"Idiopathic Multicentric Castleman disease (iMCD) is a type of the rare lymphoproliferative diseases. C-reactive protein (CRP) is a well-recognized biomarker of inflammation, frequently exhibits elevated levels in individuals diagnosed with iMCD. However, its prognostic value of this factor in iMCD remains uncertain.",2025-04-16,10.3389/fmed.2025.1544250,2025/05/01
Dr. Kinase: predicting the drug-resistance hotspots of protein kinases.,"Protein kinases (PKs) regulate various cellular functions, and are targeted by small-molecule kinase inhibitors (KIs) in cancers and other diseases. However, drug resistance (DR) of KIs occurs through critical mutations in four types of representative hotspots, including gatekeeper, G-loop, αC-helix, and A-loop. KI DR has become a common clinical complication affecting multiple cancers, targeted kinases, and drugs. To tackle this challenge, we report an upgraded web server, namely Dr. Kinase, for predicting the loci of four DR hotspots and assessing effects of mutations on DR hotspots for PKs in our previous studies, by utilizing multimodal features and deep hybrid learning. The performance of Dr. Kinase has been rigorously evaluated using independent testing, demonstrating excellent accuracy with area under the curve values exceeding 0.89 in different types of DR hotspot predictions. We further conducted in silico analyses to evaluate and validate the epidermal growth factor receptor mutations on protein conformation and KIs' binding efficacy. Dr. Kinase is freely available at http://modinfor.com/drkinase, with comprehensive annotations and visualizations. We anticipate that Dr. Kinase will be a highly useful service for the basic, translational, and clinical community to unveil the molecular mechanisms of DR and the development of next-generation KIs for emerging cancer precision medicine.",2025-05-01,10.1093/nar/gkaf366,2025/05/01
Structure of the complex of C1q-like 3 protein with adhesion-GPCR BAI3.,"The adhesion-GPCR Brain-specific Angiogenesis Inhibitor-3 (BAI3) plays a crucial role in organizing synapses in the brain. However, how BAI3 engages one of its ligands, the C1q-like proteins (C1qls), remains largely unexplored. Here, we present the single-particle cryo-electron microscopy (cryo-EM) structure of the C1ql3-BAI3 complex at 2.8 Å resolution. The structure reveals a hexameric configuration, where C1ql3 forms a central homotrimer that effectively captures three BAI3 molecules. These BAI3 molecules fit snugly into the grooves between the trimeric C1q domains of the C1qls, employing calcium ion (Ca<sup>2+</sup>)-mediated interactions that differ from previously characterized structures of C1q-like domain-mediated complexes. Furthermore, we conducted mutant analysis and cell surface staining, which confirmed the essential contact residues involved in this interaction. This unique binding mechanism not only enhances our understanding of the C1ql-BAI3-mediated synaptic organization but also sheds light on the functional dynamics of BAI3 in the brain.",2025-05-03,10.1038/s42003-025-08112-w,2025/05/02
Precise modulation of protein refolding by rationally designed covalent organic frameworks.,"Precisely regulating protein conformation (folding) for biomanufacturing and biomedicine is of great significance but remains challenging. In this work, we innovate a covalent organic framework (COF)-directed protein refolding strategy to modulate protein conformation by rationally designed covalent organic frameworks with adapted pore structures and customizable microenvironments. The conformation of denatured protein can be efficiently recovered through a simple one-step approach using covalent organic framework treatment in aqueous or buffer solutions. This strategy demonstrates high generality that can be applied to various proteins (for example, lysozyme, glucose oxidase, trypsin, nattokinase, and papain) and diverse covalent organic frameworks. An in-depth investigation of the refolding mechanism reveals that pore size and microenvironments such as hydrophobicity, π-π conjugation, and hydrogen bonding are critical to regulating protein conformation. Furthermore, we use this covalent organic framework platform to build up solid-phase columns for continuous protein recovery and achieved a ~ 100% refolding yield and excellent recycling performance (30 cycles), enabling an integrated process for the extracting and refolding denatured proteins (such as the harvest of protein in inclusion bodies). This study creates a highly efficient and customizable covalent organic framework platform for precisely regulating proteins refolding and enhancing their performance, opening up a new avenue for advanced protein manufacturing.",2025-05-03,10.1038/s41467-025-59368-z,2025/05/02
"Design, Synthesis, and Evaluation of a Novel Positron Emission Tomography Tracer Targeting Fibroblast Activation Protein: From Bench to Bedside.","FAPI-PET/CT has become a promising tool for cancer diagnosis. However, the pharmacokinetic properties of FAPI tracers need optimization. Here, we developed a novel FAPI tracer, [<sup>18</sup>F]AlF-NOTA-SP<sub>2</sub>A-FAPT, for cancer imaging. NOTA-SP<sub>2</sub>A-FAPT was successfully synthesized and radiolabeled with a high radiochemical purity. [<sup>18</sup>F]AlF-NOTA-SP<sub>2</sub>A-FAPT displayed satisfying stability, hydrophilicity, and affinity to FAP, as well as specific uptake in A549-FAP cells. Micro-PET/CT showed that [<sup>18</sup>F]AlF-NOTA-SP<sub>2</sub>A-FAPT is rapidly excreted through the renal system. [<sup>18</sup>F]AlF-NOTA-SP<sub>2</sub>A-FAPT exhibited high tumor uptake and excellent retention, showing better tumor delineation compared to [<sup>18</sup>F]FDG and [<sup>18</sup>F]AlF-NOTA-FAPI-42. Pilot clinical studies of [<sup>18</sup>F]AlF-NOTA-SP<sub>2</sub>A-FAPT and head-to-head comparison with [<sup>18</sup>F]FDG were performed on 13 cancer patients. Compared to [<sup>18</sup>F]FDG, [<sup>18</sup>F]AlF-NOTA-SP<sub>2</sub>A-FAPT had higher uptake in primary tumor and lymph node metastases as well as favorable distribution and good tumor retention. In conclusion, [<sup>18</sup>F]AlF-NOTA-SP<sub>2</sub>A-FAPT demonstrated high tumor accumulation, as well as improved pharmacokinetic properties. [<sup>18</sup>F]AlF-NOTA-SP<sub>2</sub>A-FAPT could emerge as a promising alternative to the currently established FAPI tracers.",2025-05-02,10.1021/acs.jmedchem.4c02961,2025/05/02
AdptDilatedGCN: Protein-ligand binding affinity prediction based on multi-scale interaction fusion mechanism and dilated GCN.,"Predicting protein-ligand binding affinity is crucial for drug discovery. However, existing prediction methods often make insufficient use of the features of proteins and ligands, lack interactions between different information, and have difficulty in capturing and integrating both fine- and coarse-grained information of proteins and ligands at the same time. Therefore, we propose a deep learning method called AdptDilatedGCN, which fully interacts with protein and ligand features through multi-scale interaction and fusion mechanism, mining potential fine-grained and coarsely grained information and fusing it, combining skip connections and multi-scale fusion strategy to improve feature utilization and enhance features. In the model, dilated Graph Convolutional Network(GCN) combines multi-head attention mechanism and dilated convolution to overcome the limitations of traditional GCN, while taking into account the interactions between amino acid nodes in the protein graph. In addition, an adaptive Gated Recurrent Unit(GRU) is designed to dynamically enhance the model's ability to integrate multi-source information in adaptive GCN. The Vina weights obtained from AutoDock Vina are used to supplement and further enhance the features learned from GCN. Finally, The model achieves Pearson correlation coefficients of 0.837 and 0.803 on the CASF-2016 and CASF-2013 public test sets, respectively.",2025-04-30,10.1016/j.ijbiomac.2025.143751,2025/05/02
Ribo-seq guided design of enhanced protein secretion in Komagataella phaffii.,"The production of recombinant proteins requires the precise coordination of various biological processes, including protein synthesis, folding, trafficking, and secretion. The overproduction of a heterologous protein can impose various bottlenecks on these networks. Identifying and alleviating these bottlenecks can guide strain engineering efforts to enhance protein production. The methylotrophic yeast Komagataella phaffii is used for its high capacity to produce recombinant proteins. Here, we use ribosome profiling to identify bottlenecks in protein secretion during heterologous expression of human serum albumin (HSA). Validation of this analysis showed that the knockout of non-essential genes whose gene products target the ER, through co- and post-translational mechanisms, and have high ribosome utilization can increase production of a heterologous protein, HSA. A triple knockout in co-translationally translocated carbohydrate and acetate transporter Gal2p, cell wall maintenance protein Ydr134cp, and the post-translationally translocated cell wall protein Aoa65896.1 increased HSA production by 35%. This data-driven strain engineering approach uses cell-level information to identify gene targets for phenotype improvement. This specific case identifies hits and creates strains with improved HSA production, with Ribo-seq and bioinformatic analysis to identify non-essential ER targeted proteins that are high ribosome utilizers.",2025-04-30,10.1016/j.ymben.2025.04.007,2025/05/02
PSTP: accurate residue-level phase separation prediction using protein conformational and language model embeddings.,"Phase separation (PS) is essential in cellular processes and disease mechanisms, highlighting the need for predictive algorithms to analyze uncharacterized sequences and accelerate experimental validation. Current high-accuracy methods often rely on extensive annotations or handcrafted features, limiting their generalizability to sequences lacking such annotations and making it difficult to identify key protein regions involved in PS. We introduce Phase Separation's Transfer-learning Prediction (PSTP), which combines conformational embeddings with large language model embeddings, enabling state-of-the-art PS predictions from protein sequences alone. PSTP performs well across various prediction scenarios and shows potential for predicting novel-designed artificial proteins. Additionally, PSTP provides residue-level predictions that are highly correlated with experimentally validated PS regions. By analyzing 160 000+ variants, PSTP characterizes the strong link between the incidence of pathogenic variants and residue-level PS propensities in unconserved intrinsically disordered regions, offering insights into underexplored mutation effects. PSTP's sliding-window optimization reduces its memory usage to a few hundred megabytes, facilitating rapid execution on typical CPUs and GPUs. Offered via both a web server and an installable Python package, PSTP provides a versatile tool for decoding protein PS behavior and supporting disease-focused research.",2025-05-03,10.1093/bib/bbaf171,2025/05/02
A rationally designed injury kidney targeting peptide library and its application in rescuing acute kidney injury.,"Acute kidney injury (AKI) has high incidence and mortality rates. Present treatments are mostly symptomatic and cause side effects due to systemic distribution; thus, targeted kidney drug delivery is desired. Transmembrane kidney injury molecule-1 (KIM1) is expressed at low levels in normal kidneys but markedly up-regulated following injury, making it an ideal marker/target for injured kidneys. Here, assisted by AlphaFold, we constructed a library of 1885 peptides that target the extracellular Ig V domain of KIM1 based on interacting fragments from 47 potential KIM1 binding proteins followed by systemic optimization according to their binding energies with KIM1. Experimental validation of top candidates (TKP 1-5) demonstrated that TKP 4 efficiently targeted injured renal cells/kidneys, with its specificity demonstrated in KIM1 knockout cells/mice. TKP 4-decorating liposomes were loaded with nystatin, a renal-protective compound with systemic side effects, and efficiently targeted injured mouse kidneys and alleviated AKI. This work establishes a virtual platform to screen/identify drug delivery candidates with broad research/therapeutic potentials.",2025-05-02,10.1126/sciadv.adt3943,2025/05/02
Enhancing privacy in biosecurity with watermarked protein design.,The biosecurity issue arises as the capability of deep learning-based protein design has rapidly increased in recent years. Current regulation procedures for DNA synthesizing focus on the biosecurity but ignore the data privacy.,2025-05-02,10.1093/bioinformatics/btaf141,2025/05/02
"Slippery Liquid-Infused Porous Surfaces Infused with Thermotropic Liquid Crystals Enable Droplet-Based, Naked-Eye Reporting of Changes in Peptide Structure and Protease Activity.","We report the design of liquid crystal-infused ""slippery"" liquid-infused porous surfaces (LC-SLIPS) that permit naked-eye detection and reporting on the structural differences and activities of peptides and protease enzymes in aqueous media. We demonstrate that small (e.g., 20 μL) droplets of aqueous solutions placed in contact with LC-SLIPS exhibit sliding behaviors that vary substantially with the concentrations, structures, and physicochemical properties (e.g., hydrophobicity) of model amphiphilic β- and α/β-peptides dissolved within them. These large differences in sliding times permit naked-eye detection and discrimination of changes in peptide structure, including side-chain substitution, end group structure, backbone structure, and charge that correlate with differences in peptide amphiphilicity. We demonstrate further that LC-SLIPS can be used to monitor other biochemical processes, including digestion by proteases, that affect changes in the structures of amphiphilic peptides and can, thus, be used to develop novel, naked-eye assays that can report sensitively on enzymatic activity. As proof of concept, we show that large and visually observable changes in droplet sliding resulting from the degradation of a model peptide can be used to detect the presence of trypsin in aqueous solutions at levels as low as 12.5 ng/mL. That result, in turn, served as the basis of an LC-SLIPS-based assay that can be used to detect clinically relevant concentrations (from 25 to 25,000 ng/mL) of trypsinogen, a well-established biomarker for acute pancreatitis, in samples of synthetic urine. This ""sliding"" assay is conceptually straightforward and requires only visual monitoring and/or a hand-held stopwatch for readout, highlighting the potential for low-cost, point-of-care diagnostics applications. Overall, our results demonstrate the ability of LC-SLIPS to capture and report structural information relevant to other therapeutic properties and applications of amphiphilic peptides that could also be useful in the context of drug design and screening.",2025-05-02,10.1021/acsami.5c02541,2025/05/02
XenoBug: machine learning-based tool to predict pollutant-degrading enzymes from environmental metagenomes.,"Application of machine learning-based methods to identify novel bacterial enzymes capable of degrading a wide range of xenobiotics offers enormous potential for bioremediation of toxic and carcinogenic recalcitrant xenobiotics such as pesticides, plastics, petroleum, and pharmacological products that adversely impact ecology and health. Using 6814 diverse substrates involved in ∼141 200 biochemical reactions, we have developed 'XenoBug', a machine learning-based tool that predicts bacterial enzymes, enzymatic reaction, the species capable of biodegrading xenobiotics, and the metagenomic source of the predicted enzymes. For training, a hybrid feature set was used that comprises 1603 molecular descriptors and linear and circular fingerprints. It also includes enzyme datasets consisting of ∼3.3 million enzyme sequences derived from an environmental metagenome database and ∼16 million enzymes from ∼38 000 bacterial genomes. For different reaction classes, XenoBug shows very high binary accuracies (>0.75) and F1 scores (>0.62). XenoBug is also validated on a set of diverse classes of xenobiotics such as pesticides, environmental pollutants, pharmacological products, and hydrocarbons known to be degraded by the bacterial enzymes. XenoBug predicted known as well as previously unreported metabolic enzymes for the degradation of molecules in the validation set, thus showing its broad utility to predict the metabolism of any input xenobiotic molecules. XenoBug is available on: https://metabiosys.iiserb.ac.in/xenobug.",2025-05-01,10.1093/nargab/lqaf037,2025/05/02
"Discovery, design, and engineering of enzymes based on molecular retrobiosynthesis.","Biosynthesis-a process utilizing biological systems to synthesize chemical compounds-has emerged as a revolutionary solution to 21st-century challenges due to its environmental sustainability, scalability, and high stereoselectivity and regioselectivity. Recent advancements in artificial intelligence (AI) are accelerating biosynthesis by enabling intelligent design, construction, and optimization of enzymatic reactions and biological systems. We first introduce the molecular retrosynthesis route planning in biochemical pathway design, including single-step retrosynthesis algorithms and AI-based chemical retrosynthesis route design tools. We highlight the advantages and challenges of large language models in addressing the sparsity of chemical data. Furthermore, we review enzyme discovery methods based on sequence and structure alignment techniques. Breakthroughs in AI-based structural prediction methods are expected to significantly improve the accuracy of enzyme discovery. We also summarize methods for de novo enzyme generation for nonnatural or orphan reactions, focusing on AI-based enzyme functional annotation and enzyme discovery techniques based on reaction or small molecule similarity. Turning to enzyme engineering, we discuss strategies to improve enzyme thermostability, solubility, and activity, as well as the applications of AI in these fields. The shift from traditional experiment-driven models to data-driven and computationally driven intelligent models is already underway. Finally, we present potential challenges and provide a perspective on future research directions. We envision expanded applications of biocatalysis in drug development, green chemistry, and complex molecule synthesis.",2025-03-28,10.1002/mlf2.70009,2025/05/02
"Correction to ""NAC4ED: A high-throughput computational platform for the rational design of enzyme activity and substrate selectivity"".",[This corrects the article DOI: 10.1002/mlf2.12154.].,2025-03-27,10.1002/mlf2.70000,2025/05/02
Comprehensive transcriptomic analysis integrating bulk and single-cell RNA-seq with machine learning to identify and validate mitochondrial unfolded protein response biomarkers in patients with ischemic stroke.,"Ischemic stroke (IS) represents a significant contributor to morbidity and mortality globally. The relationship between IS and mitochondrial unfolded protein response <math xmlns=""http://www.w3.org/1998/Math/MathML""><mrow><mo>(</mo> <mrow> <msup><mrow><mtext>UPR</mtext></mrow> <mrow><mtext>mt</mtext></mrow> </msup> </mrow> <mo>)</mo></mrow> </math> was presently uncertain. This study endeavors to explore the fundamental mechanism of <math xmlns=""http://www.w3.org/1998/Math/MathML""> <mrow> <msup><mrow><mtext>UPR</mtext></mrow> <mrow><mtext>mt</mtext></mrow> </msup> </mrow> </math> in IS by utilizing bioinformatics methods.",2025-04-17,10.3389/fcell.2025.1582252,2025/05/02
"Reduced Predicted Glycaemic Response and Inhibitory Effects on Lipid-Digesting Enzymes of Pasta Enriched With Flour of <i>Malus domestica</i> ""<i>Annurca</i> cv."" Pulp or Peel.","Pasta is widely consumed, and incorporating certain components can transform it into a functional food with health advantages. These components include antioxidants, dietary fiber, and enzyme inhibitors associated with a decreased risk of various health issues. The <i>Malus domestica</i> variety <i>Annurca</i> is abundant in bioactive compounds, making it a suitable candidate for producing functional foods. We developed durum wheat tagliatelle enriched with dried and powdered <i>Annurca</i> pulp or peels at two distinct supplementation levels (3% and 6%) on a laboratory scale. The in vitro ability to inhibit digestive enzymes and the predicted glycaemic value of the enriched pasta were evaluated. Every formulation demonstrated inhibition of <i>α</i>-amylase, <i>α</i>-glucosidase, cholesterol esterase, and lipase in vitro. All the samples exhibited a low predicted glycaemic index (pGI), ranging from 41.25 to 45.76. These low pGI values indicate that fortified pasta has a lower impact on blood sugar levels and a slower digestion rate. The predicted glycaemic indices for pasta enriched with 3% or 6% pulp flour were 18.7% and 26.7% lower, respectively, than those for control pasta with durum wheat semolina alone. The reductions were similar for peel-enriched pasta at 3% and 6% (24.4% and 24.7%, respectively). Our in vitro results indicate that <i>Annurca</i> apple-fortified pasta has lipid- and glucose-lowering effects. Adding <i>Annurca</i> fruit flour with valuable and functional compounds could be relevant for obtaining pasta with potential health benefits.",2025-04-24,10.1155/ijfo/8361330,2025/05/02
Molecular allergen sensitization profile and casein threshold determination predicting the persistence of cow's milk protein allergy in Tunisia (North Africa).,"Cow's milk protein allergy (CMPA) represents a major health concern in Tunisia, with diagnostic challenges influencing disease prognosis. Molecular allergen testing has emerged as a valuable tool to enhance diagnostic accuracy and predict disease persistence.",2025-04-17,10.3389/falgy.2025.1564564,2025/05/02
Predictive value of the preoperative C-reactive protein-to-albumin ratio for surgical site infection after percutaneous kyphoplasty: a single-center retrospective study.,This study aimed to investigate the risk factors for surgical site infection (SSI) after percutaneous kyphoplasty (PKP) and evaluate the application value of the preoperative C-reactive protein (CRP)-to-albumin ratio (CAR) in predicting SSI.,2025-04-17,10.3389/fcimb.2025.1565468,2025/05/02
Combining Mass Spectrometry with Machine Learning to Identify Novel Protein Signatures: The Example of Multisystem Inflammatory Syndrome in Children.,"Objectives We demonstrate an approach that integrates biomarker analysis with machine learning to identify protein signatures, using the example of SARS-CoV-2-induced Multisystem Inflammatory Syndrome in Children (MIS-C). Methods We used plasma samples collected from subjects diagnosed with MIS-C and compared them first to controls with asymptomatic/mild SARS-CoV-2 infection and then to controls with pneumonia or Kawasaki disease. We used mass spectrometry to identify proteins. Support vector machine (SVM) algorithm-based classification schemes were used to analyze protein pathways. We assessed diagnostic accuracy using internal and external cross-validation. Results Proteomic analysis of a training dataset containing MIS-C (N=17), and asymptomatic/mild SARS-CoV-2 infected control samples (N=20) identified 643 proteins, of which 101 were differentially expressed. Plasma proteins associated with inflammation and coagulation increased and those associated with lipid metabolism decreased in MIS-C relative to controls. The SVM machine learning algorithm identified a three-protein model (ORM1, AZGP1, SERPINA3) that achieved 90.0% specificity, 88.2% sensitivity, and 93.5% area under the curve (AUC) distinguishing MIS-C from controls in the training set. Performance was retained in the validation dataset utilizing MIS-C (N=17) and asymptomatic/mild SARS-CoV-2 infected control samples (N=10) (90.0% specificity, 84.2% sensitivity, 87.4% AUC). We next replicated our approach to compare MIS-C with similarly presenting syndromes, such as pneumonia (N=17) and Kawasaki Disease (N=13) and found a distinct three-protein signature (VWF, SERPINA3, and FCGBP) that accurately distinguished MIS-C from the other conditions (97.5% specificity, 89.5% sensitivity, 95.6% AUC). We also developed a software tool that may be used to evaluate other protein pathway signatures using our data. Conclusions We used MIS-C, a novel hyperinflammatory illness, to demonstrate that the use of mass spectrometry to identify candidate plasma proteins followed by machine learning, specifically SVM, is an efficient strategy for identifying and evaluating biomarker signatures for disease classification.",2025-04-25,10.1101/2025.04.17.25325767,2025/05/02
Plasma C-Peptide Level and Continuous Glucose Monitoring-Derived Coefficient of Variation as a Predictable Risk Factor for Hypoglycemia in Koreans with Diabetes.,,2025-04-24,10.3803/EnM.2025.2403,2025/05/02
